ID_FIRM,P1110_B,P1110_E,P1120_B,P1120_E,P1130_B,P1130_E,P1140_B,P1140_E,P1150_B,P1150_E,P1160_B,P1160_E,P1170_B,P1170_E,P1180_B,P1180_E,P1190_B,P1190_E,P1100_B,P1100_E,P1210_B,P1210_E,P1220_B,P1220_E,P1230_B,P1230_E,P1240_B,P1240_E,P1250_B,P1250_E,P1260_B,P1260_E,P1200_B,P1200_E,P1600_B,P1600_E,P1310_B,P1310_E,P1320_B,P1320_E,P1340_B,P1340_E,P1350_B,P1350_E,P1360_B,P1360_E,P1370_B,P1370_E,P1300_B,P1300_E,P1410_B,P1410_E,P1420_B,P1420_E,P1430_B,P1430_E,P1450_B,P1450_E,P1400_B,P1400_E,P1510_B,P1510_E,P1520_B,P1520_E,P1530_B,P1530_E,P1540_B,P1540_E,P1550_B,P1550_E,P1500_B,P1500_E,P1700_B,P1700_E,P2110_B,P2110_E,P2120_B,P2120_E,P2100_B,P2100_E,P2210_B,P2210_E,P2220_B,P2220_E,P2200_B,P2200_E,P2310_B,P2310_E,P2320_B,P2320_E,P2330_B,P2330_E,P2340_B,P2340_E,P2350_B,P2350_E,P2300_B,P2300_E,P2410_B,P2410_E,P2421_B,P2421_E,P2430_B,P2430_E,P2450_B,P2450_E,P2460_B,P2460_E,P2400_B,P2400_E,BANKR
718751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,10027,0,0,0,51,0,0,0,10768,0,10768,0,10,0,0,0,0,0,0,0,0,0,323,0,333,0,0,0,0,0,0,0,0,0,0,0,2614,0,8038,0,0,0,0,0,0,0,10652,0,10985,0,10544,0,10014,0,530,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,40,0,490,0,0,0,0,0,0,0,0,0,0,0,490,0
718752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,474,0,0,0,594,0,594,0,268,0,0,0,0,0,0,0,0,0,29,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,276,0,573,0,14937,0,14875,0,62,0,0,0,69,0,-7,0,0,0,0,0,0,0,0,0,14,0,-21,0,8,0,0,0,0,0,0,0,0,0,-29,0
718753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,537,0,0,0,604,0,604,0,0,0,0,0,0,0,0,0,0,0,-1480,0,-1480,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,0,0,0,0,0,0,0,2095,0,615,0,1132,0,0,0,1132,0,2567,0,0,0,-1435,0,0,0,0,0,0,0,0,0,3,0,-1438,0,0,0,0,0,0,0,0,0,0,0,-1438,0
718754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,972,0,972,0,998,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,155,0,0,0,0,0,116,0,291,0,291,0,10,0,0,0,0,0,0,0,0,0,19,0,29,0,0,0,0,0,0,0,0,0,0,0,9,0,253,0,0,0,0,0,0,0,262,0,291,0,11062,0,10738,0,324,0,0,0,557,0,-233,0,0,0,0,0,0,0,0,0,4,0,-237,0,5,0,0,0,0,0,0,0,0,0,-242,0
718756,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,329,0,476,0,0,0,4273,0,0,0,2471,0,0,0,7220,0,7549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,1915,0,0,0,0,0,0,0,2917,0,2917,0,20669,0,15735,0,4934,0,0,0,0,0,4934,0,0,0,0,0,0,0,756,0,775,0,4915,0,680,0,0,0,0,0,0,0,0,0,4235,0
718757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,137,0,6303,0,0,0,35,0,0,0,7225,0,7225,0,10,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7349,0,0,0,0,0,0,0,7349,0,7369,0,7093,0,6906,0,187,0,77,0,0,0,110,0,0,0,0,0,0,0,0,0,11,0,99,0,2,0,0,0,0,0,0,0,0,0,97,0
718758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,284,0,284,0,10,0,0,0,0,0,0,0,0,0,-147,0,-137,0,0,0,0,0,0,0,0,0,0,0,2,0,434,0,0,0,0,0,0,0,436,0,299,0,0,0,0,0,0,0,0,0,131,0,-131,0,0,0,0,0,0,0,0,0,2,0,-133,0,19,0,0,0,0,0,0,0,0,0,-152,0
718759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,6815,0,1,0,762,0,0,0,35,0,0,0,7613,0,7653,0,10,0,0,0,0,0,0,0,0,0,-165,0,-155,0,0,0,0,0,0,0,0,0,0,0,3692,0,3996,0,0,0,0,0,0,0,7688,0,7533,0,0,0,0,0,0,0,0,0,124,0,-124,0,0,0,0,0,56,0,0,0,17,0,-197,0,0,0,0,0,0,0,39,0,0,0,-158,0
718760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,162,0,0,0,188,0,0,0,578,0,578,0,10,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,551,0,0,0,0,0,0,0,556,0,569,0,3800,0,3607,0,193,0,0,0,275,0,-82,0,0,0,0,0,0,0,0,0,12,0,-94,0,1,0,0,0,0,0,0,0,0,0,-95,0
